Question,Answer,Answer Type,Reasoning Type,id
Which day of the week was the date of birth of the English inventor that developed the Richard Hornsby & Sons oil engine?,Thursday,string,"Commonsense, Arithmetic",5ac279345542990b17b153b0_0
What is the date of birth of the English inventor that developed the Richard Hornsby & Sons oil engine? ,28 January 1864,date,Original,5ac279345542990b17b153b0_0
What is the reverse order of the letters in the last name of the character portrayed by Anna Camp in the film centered on the fictional Barden University and The Bellas?,nesop,string,"Symbolic, Commonsense",5a7741775542994aec3b724f_14
How many more vowels than consonants are there in the first name of the person who Billy Howle will be seen opposite in the upcoming British drama film directed by Dominic Cooke?,1,number,"Commonsense, Arithmetic",5add2b435542990d50227e11_11
"How many more vowels than consonants are there in the first name of the brother of the architect of Hook and Ladder No. 4 located in Albany, NY?",0,number,"Commonsense, Arithmetic",5a8485fa5542992a431d1a41_11
"Who was the brother of the architect of Hook and Ladder No. 4 located in Albany, NY?",Cuyler Reynolds,person,Original,5a8485fa5542992a431d1a41_11
What is the date one week after the date the movement Hans Knirsch was an activist for officially gained traction?,1903-11-22,date,"Commonsense, Arithmetic",5a790f5e55429970f5fffe40_5
What date did the movement Hans Knirsch was an activist for officially gain traction?,"November 15, 1903",date,Original,5a790f5e55429970f5fffe40_5
What is the date one week after the date the comedy film directed by Kevin Tent and starring the Bulgarian-Canadian actress known for portraying the role of Mia Jones will be released on video on demand services?,2017-10-02,date,"Commonsense, Arithmetic",5a88fc4255429938390d4019_5
On what date will the comedy film directed by Kevin Tent and starring the Bulgarian-Canadian actress known for portraying the role of Mia Jones be released on video on demand services?,"September 25, 2017",date,Original,5a88fc4255429938390d4019_5
What is the date one week before the date the comedy film directed by Kevin Tent and starring the Bulgarian-Canadian actress known for portraying the role of Mia Jones will be released on video on demand services?,2017-09-18,date,"Commonsense, Arithmetic",5a88fc4255429938390d4019_7
What is the date one week before the birthdate of of the plaintiff in the 1892 Barbed Wire Patent Case?,1813-01-11,date,"Commonsense, Arithmetic",5a7624b85542992db947372c_7
When was the plaintiff in the 1892 Barbed Wire Patent Case born?,"January 18, 1813",date,Original,5a7624b85542992db947372c_7
What is the date one week before the date the movement Hans Knirsch was an activist for officially gained traction?,1903-11-08,date,"Commonsense, Arithmetic",5a790f5e55429970f5fffe40_7
"What is the date one day before the date when the American lawyer, lobbyist and political consultant who was a senior member of the presidential campaign of Donald Trump was born?",1949-03-31,date,"Commonsense, Arithmetic",5ae5736e5542990ba0bbb2b3_7
What is the date one day before the date of birth of the English inventor that developed the Richard Hornsby & Sons oil engine?,1864-01-27,date,"Commonsense, Arithmetic",5ac279345542990b17b153b0_7
"What is the date one day before the release date of the professional wrestling video game in which Mark Henry will appear as ""legend""?",2017-10-16,date,"Commonsense, Arithmetic",5ae5305b5542990ba0bbb1f5_7
How many vowels are there in the last name of the person who created the NBC sitcom that Johnny Pemberton appears in as the character Bo Thompson?,2,number,"Commonsense, Arithmetic",5a83411655429966c78a6b5d_4
Who created the NBC sitcom that Johnny Pemberton appears in as the character Bo Thompson?,Justin Spitzer,person,Original,5a83411655429966c78a6b5d_4
"What is the date 9 days after the date when the American lawyer, lobbyist and political consultant who was a senior member of the presidential campaign of Donald Trump was born?",1949-04-10,date,"Commonsense, Arithmetic",5ae5736e5542990ba0bbb2b3_6
What is the date 3 days after the date of birth of the English inventor that developed the Richard Hornsby & Sons oil engine?,1864-01-31,date,"Commonsense, Arithmetic",5ac279345542990b17b153b0_6
"What is the date 4 days after the release date of the professional wrestling video game in which Mark Henry will appear as ""legend""?",2017-10-21,date,"Commonsense, Arithmetic",5ae5305b5542990ba0bbb1f5_6
What is the closest palindrome number to the year of the birthdate of of the plaintiff in the 1892 Barbed Wire Patent Case?,1771,number,"Commonsense, Arithmetic",5a7624b85542992db947372c_3
"What is the closest palindrome number to the year of the date when the Disney sitcom in which Genevieve Knight ""G"" Hannelius starred as Avery Jennings ended?",2002,number,"Commonsense, Arithmetic",5a84b4005542991dd0999d99_3
What is the closest palindrome number to the year of the birth date of the  former Indian cricketer who made his ODI debuts during the 2000 ICC KnockOut Trophy?,1991,number,"Commonsense, Arithmetic",5ae7eaf65542994a481bbe1d_3
When was the  former Indian cricketer who made his ODI debuts during the 2000 ICC KnockOut Trophy born? ,7 October 1978,date,Original,5ae7eaf65542994a481bbe1d_3
"How many consonants are there in the first name of the current drummer of the band who did the song ""What Lovers Do""?",3,number,"Commonsense, Arithmetic",5ae5072e55429960a22e0246_4
How many consonants are there in the first name of the former member of Beatles married the starring actress of The Black Belly of the Tarantula ?,3,number,"Commonsense, Arithmetic",5ae686535542996d980e7bdc_4
What is the ASCII code of the first letter of the last name of the character portrayed by Anna Camp in the film centered on the fictional Barden University and The Bellas in lowercase?,112,number,"Symbolic, Commonsense",5a7741775542994aec3b724f_1
"How many distinct two-letter combinations exist in the first name of the role the actor who played Colonel Sherman T. Potter in ""M*A*S*H"" played in ""Kentucky Jones""?",15,number,"Commonsense, Arithmetic",5ac23f9555429951e9e684db_10
How many distinct two-letter combinations exist in the first name of the director of a 2004 film where Kam Heskin plays Paige Morgan in?,11,number,"Commonsense, Arithmetic",5ae789615542997ec2727695_10
"How many distinct two-letter combinations exist in the first name of the screenwriter with credits for ""Evolution"" co-wrote a film starring Nicolas Cage and Téa Leoni?",7,number,"Commonsense, Arithmetic",5a877e5d5542993e715abf7d_10
What is the month (in number) of the birthdate of of the plaintiff in the 1892 Barbed Wire Patent Case?,1,number,Commonsense,5a7624b85542992db947372c_4
"What is the month (in number) of the date when the Disney sitcom in which Genevieve Knight ""G"" Hannelius starred as Avery Jennings ended?",10,number,Commonsense,5a84b4005542991dd0999d99_4
What is the date 9 weeks before the birth date of the  former Indian cricketer who made his ODI debuts during the 2000 ICC KnockOut Trophy?,1978-08-05,date,"Commonsense, Arithmetic",5ae7eaf65542994a481bbe1d_8
What is the date 7 weeks before the date the comedy film directed by Kevin Tent and starring the Bulgarian-Canadian actress known for portraying the role of Mia Jones will be released on video on demand services?,2017-08-07,date,"Commonsense, Arithmetic",5a88fc4255429938390d4019_8
"What is the concatenation of the first letter of the first name and the last letter of the last name of the role the actor who played Colonel Sherman T. Potter in ""M*A*S*H"" played in ""Kentucky Jones"" in lowercase?",sn,string,"Symbolic, Commonsense",5ac23f9555429951e9e684db_3
What is the concatenation of the first letter of the first name and the last letter of the last name of the person who designed and built the park which links Salisbury Woodland Gardens with a zoo in lowercase?,tn,string,"Symbolic, Commonsense",5ae6828f5542996d980e7bb9_3
What is the day of the release date of U2 album song An Cat Dubh / Into the Heart?,20,number,Commonsense,5ac3b0885542995ef918c1f8_4
What is the day of the date on which Luke Null is an actor who was on the program that premiered its 43rd season?,30,number,Commonsense,5ac3b5d3554299741d48a2f3_4
Luke Null is an actor who was on the program that premiered its 43rd season on which date?,"September 30, 2017",date,Original,5ac3b5d3554299741d48a2f3_4
What is the date 8 weeks after the date the movement Hans Knirsch was an activist for officially gained traction?,1904-01-10,date,"Commonsense, Arithmetic",5a790f5e55429970f5fffe40_6
What is the date 7 weeks after the birthdate of of the plaintiff in the 1892 Barbed Wire Patent Case?,1813-03-08,date,"Commonsense, Arithmetic",5a7624b85542992db947372c_6
What is the concatenation of the last letters of the first name and last name of the person who created the NBC sitcom that Johnny Pemberton appears in as the character Bo Thompson?,nr,string,"Symbolic, Commonsense",5a83411655429966c78a6b5d_3
What is the last letter of the first name of the former member of Beatles married the starring actress of The Black Belly of the Tarantula ?,o,letter,"Symbolic, Commonsense",5ae686535542996d980e7bdc_0
What is the last letter of the first name of the person who designed and built the park which links Salisbury Woodland Gardens with a zoo?,s,letter,"Symbolic, Commonsense",5ae6828f5542996d980e7bb9_0
What is the binary code of the last letter of the first name of the former member of Beatles married the starring actress of The Black Belly of the Tarantula ?,1101111,string,"Symbolic, Commonsense",5ae686535542996d980e7bdc_2
"What is the binary code of the last letter of the first name of the current drummer of the band who did the song ""What Lovers Do""?",1110100,string,"Symbolic, Commonsense",5ae5072e55429960a22e0246_2
What is the date one year after the release date of U2 album song An Cat Dubh / Into the Heart?,1981-10-20,date,"Commonsense, Arithmetic",5ac3b0885542995ef918c1f8_5
What is the date one year after the date when Charlie McDermott plays Axl Heck on a tv show that premiered in ?,2010-09-30,date,"Commonsense, Arithmetic",5ae26cb15542994d89d5b421_5
Charlie McDermott plays Axl Heck on a tv show that premiered in what date? ,"September 30, 2009",date,Original,5ae26cb15542994d89d5b421_5
What is the date one year after the date on which Luke Null is an actor who was on the program that premiered its 43rd season?,2018-09-30,date,"Commonsense, Arithmetic",5ac3b5d3554299741d48a2f3_5
"What is the sum of all the digits in the day, month and year of the date when the American lawyer, lobbyist and political consultant who was a senior member of the presidential campaign of Donald Trump was born?",28,number,Arithmetic,5ae5736e5542990ba0bbb2b3_2
"What is the sum of all the digits in the day, month and year of the birthdate of the director of an American short slasher film with French-speaking serial killers that was released on October 31, 2011?",32,number,Arithmetic,5a77ba6c55429967ab10524c_2
"What is the sum of all the digits in the day, month and year of the release date of the professional wrestling video game in which Mark Henry will appear as ""legend""?",19,number,Arithmetic,5ae5305b5542990ba0bbb1f5_2
"What is the binary code of the first letter of the last name of the psychologist who wrote about the disciple of the person known as the ""Wild Woman of Buttle"" in lowercase?",1101011,string,"Symbolic, Commonsense",5ae20e265542994d89d5b325_2
What is the binary code of the first letter of the last name of the character portrayed by Anna Camp in the film centered on the fictional Barden University and The Bellas in lowercase?,1110000,string,"Symbolic, Commonsense",5a7741775542994aec3b724f_2
"What is the first name of the person who created the 2003 remake of the 1983 overhead view, vehicular combat game developed by Bally Midway?",Adam,string,Commonsense,5ae638865542992ae0d1628c_19
How many vowels are there in the first name of the founder of the company that sponsors the CFL game of the week?,2,number,"Commonsense, Arithmetic",5a8332815542993344745fe9_4
Who founded the company that sponsors the CFL game of the week? ,Dave Thomas,person,Original,5a8332815542993344745fe9_4
What is the square of the sum of the digits of the year of birth of The character Jack from While You Were Sleeping?,324.0,number,Arithmetic,5ab6c5be55429954757d336c_0
