Question,LLM Response
"Who is William Hedges-White, 3Rd Earl Of Bantry's paternal grandfather?","Richard White, 1st Earl of Bantry"
What year was the author of Cock and Bull born? ,1961
Who is the father of the director of the film A No-Hit No-Run Summer?,Félix Leclerc
Where was the author of Hannibal and Scipio educated at?,"Exeter College, Oxford"
"When was the British author who wrote the novel on which ""Here We Go Round the Mulberry Bush"" was based born? ",1931
"Who is the paternal grandfather of Alexandre Berthier, 3Rd Prince Of Wagram?",Louis Alexandre Berthier
Who is the spouse of the director of the film Hannele'S Journey To Heaven?,Robert Reinert
Who is the paternal grandfather of Dui Finn?,Bresal Brecc
Kam Heskin plays Paige Morgan in a 2004 film directed by who?,Martha Coolidge
What year was the publisher of Africa Renewal founded?,1945
"When did Sophie Of Pomerania, Duchess Of Pomerania's husband die?",1473
"When did the father of Philipp, Duke Of Saxe-Merseburg-Lauchstädt die?",1681
"What is the date of death of Maria Isabel De Alcântara, Countess Of Iguaçu's mother?",1840-11-03
An Cat Dubh / Into the Heart is a song from the U2 album released on what date?,1980-10-20
"Who is the paternal grandfather of Ferdinand Maximilian, Hereditary Prince Of Baden-Baden?",Edward Fortunatus
When was the publisher of Bellingham Review founded?,1893
"When did the Disney sitcom in which Genevieve Knight ""G"" Hannelius starred as Avery Jennings end?",2015-09-25
"Who is Mary Tudor, Queen Of France's maternal grandmother?",Elizabeth Woodville
Who is the spouse of the director of the film Hannele'S Journey To Heaven?,Eugen Ortner
The character Jack from While You Were Sleeping was born in what year?,1954
"What character in ""Father Ted"" was played by an actor who starred in Death in Paradise?",Father Dougal McGuire
"What is the name of the daughter of the Irish entertainer in the girl band Maxi, Dick and Twink?",Naomi Sheridan
Charlie McDermott plays Axl Heck on a tv show that premiered in what date? ,2009-09-30
Who is Joseph-André Taschereau's paternal grandfather?,Thomas-Pierre-Joseph Taschereau
Who is Eochaid Mac Fiachnai's paternal grandfather?,Bethach mac Muiredach Muinderg
"In what year was the actress who was starred in ""Streak"" with Rumer Willis born?",1988
Who is the spouse of the director of the film Bratuku Teruvu?,Bhanumathi Ramakrishna
What year was the publisher of American Scientist founded?,1919
Who is the spouse of the director of film Sorority House (Film)?,Eleanor Boardman
"Who created the 2003 remake of the 1983 overhead view, vehicular combat game developed by Bally Midway?",Paradigm Entertainment
Who is the father of the director of the film The Cup (1999 Film)?,Thinley Norbu
Who is the author of the play that was adapted into a film and featured the orchestral arrangement Suite from Henry V?,William Shakespeare
When was Princess Feodora Of Denmark's father born?,1948-06-11
What year was the publisher of Africa Renewal founded?,1945
When was Princess Maria Anna Of Saxony's husband born?,1660-06-11
When is the director of film War Italian Style 's birthday?,1927-10-23
When was Princess Feodora Of Denmark's father born?,1900-07-02
"What is the date of birth of Louis I, Count Of Nassau-Weilburg's father?",1426
"What screenwriter with credits for ""Evolution"" co-wrote a film starring Nicolas Cage and Téa Leoni?",David Weissman
When did Eduardo Frei Ruiz-Tagle's father die?,1982-01-22
The third solo album by David Gates of Bread shares a name with a 1977 film directed by who?,Herbert Ross
"When did Humphrey De Bohun, 2Nd Earl Of Hereford's father die?",1220
"When was the American lawyer, lobbyist and political consultant who was a senior member of the presidential campaign of Donald Trump born?",1949-04-01
"Who is William Paulet, 4Th Marquess Of Winchester's paternal grandmother?",Alice Bridges
When did Cosima Von Bülow Pavoncelli's father die?,2019
Who is the author of the play that was adapted into a film and featured the orchestral arrangement Suite from Henry V?,William Shakespeare
Who is the paternal grandfather of Chiang Hsiao-Wu?,Chiang Kai-shek
"What year was the song that some critics compared to ""Fading"" released? ",2010
Who is the mother of the director of the film Operation Gold Ingot?,Ying Xia.
Who is the spouse of the director of the film Hannele'S Journey To Heaven?,Frieda Riess
Who is the paternal grandfather of Hōjō Akitoki?,Hōjō Sanetoki
Who is the paternal grandfather of Baha Al-Dawla?,Hasan ibn Buya
Who is Eva Chamberlain's maternal grandmother?,Marie d'Agoult
Who is Mehmed I's paternal grandmother?,Nilüfer Hatun
What year was the publisher of The Miscellany News founded?,1866
Where was the author of Hannibal and Scipio educated at?,"Exeter College, Oxford"
Who is Yujiulü Doulun's paternal grandfather?,Yujiulü Mugulü
"When was the American lawyer, lobbyist and political consultant who was a senior member of the presidential campaign of Donald Trump born?",1949-04-01
When was John Hodgetts-Foley's father born?,1769
What year was the publisher of Qst founded?,1914
Who is Sun Luyu's paternal grandfather?,Sun Jian
Who is the stepmother of Sara Ali Khan?,Kareena Kapoor
Where did the painter of The Mud Bath study?,Slade School of Fine Art
Who is the paternal grandfather of Ahmose-Henutemipet?,Senakhtenre Ahmose
"When did Humphrey De Bohun, 2Nd Earl Of Hereford's father die?",1220
What is the date of death of Duleep Singh's father?,1839-06-27
The actor who appeared on Charlotte's Shorts and Weeds was born in what year?,1953
When was the father of Princess Mafalda of Savoy born ?,1869
Who is Alfonso Jordan's maternal grandmother?,Eustachie de Montpellier
Who is the spouse of the director of the film Manamagan Thevai?,Not available.
"When is Maria Of Austria, Duchess Of Jülich-Cleves-Berg's husband's birthday?",1490-11-10
"When was the American lawyer, lobbyist and political consultant who was a senior member of the presidential campaign of Donald Trump born?",1949-04-01
Who is Albert G. Simms's father-in-law?,Francis E. Wood.
"Who is the paternal grandfather of Ferdinand Maximilian, Hereditary Prince Of Baden-Baden?",Edward Fortunatus
When was Martha Érika Alonso's husband born?,1971
"What character in ""Father Ted"" was played by an actor who starred in Death in Paradise?",Father Dougal McGuire
An Cat Dubh / Into the Heart is a song from the U2 album released on what date?,1980-10-20
Who is Viacheslav I Of Kiev's maternal grandfather?,Harald III of Norway
The Black Belly of the Tarantula starred an actress who married what former member of the Beatles?,Ringo Starr
What is the date of birth of the English inventor that developed the Richard Hornsby & Sons oil engine? ,1859-12-27
When did the director of film Is It Easy To Be Young? die?,2022-06-21
On what date will the comedy film directed by Kevin Tent and starring the Bulgarian-Canadian actress known for portraying the role of Mia Jones be released on video on demand services?,2017-09-25
Stephen susco wrote a movie produced by which american film actor?,Sam Raimi
Who is the stepmother of Sara Ali Khan?,Kareena Kapoor
Who was married to the creator of Ruby Loftus Screwing a Breech Ring?,Harold Knight
When was the publisher of Hürriyet founded?,1948
Who was the husband of Kalanipauahi's niece?,Charles Reed Bishop
Who is the maternal grandmother of Dakota Johnson?,Tippi Hedren
Tefik Selim Mborja was a part of a party that held power in Albania until what year? ,1944
Who is the founder of the organization that published Big Picture (Magazine)?,J. I. Rodale
The author of Elizabeth and After attended which university?,University of Toronto
Who is the mother of the director of the film The Monocle Laughs?,Marguerite Gance
"What is the date of birth of Catherine Of Foix, Countess Of Candale's mother?",About 1438.
What is the date of death of Duleep Singh's father?,1839-06-27
What is the date of birth of Stephanie Von Hohenlohe's husband?,1886-09-17
Who is the father of the performer of the song Everybody Needs A Best Friend?,Salvatore Palazzolo
What is the place of birth of the performer of song Strangers (Seven Lions And Myon & Shane 54 Song)?,"I do not have the place of birth information for the performers of the song ""Strangers"" by Seven Lions and Myon & Shane 54."
"The actress that plays Kaylee Frye in the series ""Firefly"" also stars with Alan Dale in a sci-fi tv film released in what year?",2006
"Who is William Paulet, 4Th Marquess Of Winchester's paternal grandmother?",Elizabeth Morton
What is the date of birth of Rudolph De Trafford's father?,1862-07-01
What is the date of birth of the English inventor that developed the Richard Hornsby & Sons oil engine? ,1834-04-01
What is the date of death of the director of film Nallavan Vazhvan?,1992-08-09
What is the name of the character portrayed by Anna Camp in the film centered on the fictional Barden University and The Bellas?,Aubrey Posen
What is the date of birth of the director of film Liberated Hands?,1895-10-01
Who is the paternal grandfather of Máel Ruanaid Mac Donnchada Midi?,Domnall Midi
What is the date of death of the director of film Cross Current?,2017-05-24
Who is the mother of the director of the film Cop Or Hood?,Elisabeth Scott
Who is the mother of the director of the film Operation Gold Ingot?,Lili Li
"Who is the psychologist who wrote about the disciple of the person known as the ""Wild Woman of Buttle""?",William James
